Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks,TOI/G,S%,Plus/Minus,Hits,Blocks/82,Plus/minus/82,Hits/82,G/82,A/82,P/82
3,D,27,2000000,Holl,2.50%,2018-2019,68,2,16,18,0.264705882,5,12.48333333,0%,13,9,6.029411765,15.67647059,10.85294118,2.411764706,19.29411765,21.70588235
1,D,27,700000,Joakim Ryan,0.90%,2019-2020,41,1.171428571,4.685714286,5.857142857,0.142857143,46,19.15,1.90%,-10,24,107.7714286,-23.42857143,56.22857143,2.342857143,9.371428571,11.71428571
4,D,27,3500000,Edmunson,4.30%,2019-2020,79.65714286,8.2,15.22857143,23.42857143,0.294117647,91,18.45,7.20%,7,118,109.7352941,8.441176471,142.2941176,8.441176471,15.67647059,24.11764706
4,D,27,2250000,Simek,2.80%,2019-2020,56.22857143,2.342857143,8.2,10.54285714,0.1875,60,17.18333333,5%,-13,91,102.5,-22.20833333,155.4583333,3.416666667,11.95833333,15.375
4,D,27,3000000,Demelo,3.70%,2019-2020,69.11428571,0,11.71428571,11.71428571,0.169491525,77,20.15,0%,4,105,107.0169492,5.559322034,145.9322034,0,13.89830508,13.89830508
2,D,27,1250000,Beaulieu,1.50%,2019-2020,44.51428571,1.171428571,8.2,9.371428571,0.210526316,47,17,2.60%,15,62,101.4210526,32.36842105,133.7894737,2.157894737,15.10526316,17.26315789
6,D,28,5700000,Marc Staal,8.30%,2014-2015,80,5,15,20,0.25,123,21.13333333,5.20%,18,99,126.075,18.45,101.475,5.125,15.375,20.5
5,D,28,4500000,Demers,6.20%,2015-2016,62,7,16,23,0.370967742,73,20.86666667,7.40%,16,86,96.5483871,21.16129032,113.7419355,9.258064516,21.16129032,30.41935484
4,D,28,4350000,Smith,5.80%,2016-2017,51,3,6,9,0.176470588,65,19.25,4.80%,1,59,104.5098039,1.607843137,94.8627451,4.823529412,9.647058824,14.47058824
2,D,28,1450000,Barbeiro,1.93%,2017-2018,46,3,10,13,0.282608696,62,17.28333333,5.80%,6,26,110.5217391,10.69565217,46.34782609,5.347826087,17.82608696,23.17391304
2,D,28,1375000,Connauton,1.73%,2017-2018,73,11,10,21,0.287671233,72,15.18333333,10.80%,3,116,80.87671233,3.369863014,130.3013699,12.35616438,11.23287671,23.5890411
8,D,28,11000000,Doughty - 2,13.80%,2017-2018,82,10,50,60,0.731707317,128,26.83333333,4.90%,23,127,128,23,127,10,50,60
3,D,28,2250000,Pateryn,2.80%,2017-2018,73,1,12,13,0.178082192,148,19.63333333,1%,6,155,166.2465753,6.739726027,174.109589,1.123287671,13.47945205,14.60273973
8,D,28,8000000,Carlson,10.10%,2017-2018,82,15,53,68,0.829268293,146,24.78333333,6.30%,0,47,146,0,47,15,53,68
3,D,28,3500000,Chiarot,4.30%,2018-2019,78,5,15,20,0.256410256,139,18.61666667,4.50%,6,171,146.1282051,6.307692308,179.7692308,5.256410256,15.76923077,21.02564103
4,D,28,2500000,Jensen,3.10%,2018-2019,25,0,5,5,0.2,26,17,0%,3,21,85.28,9.84,68.88,0,16.4,16.4
1,D,28,750000,Psysk,0.90%,2019-2020,67.94285714,10.54285714,10.54285714,21.08571429,0.310344828,38,12.75,14.10%,4,47,53.72413793,5.655172414,66.44827586,12.72413793,12.72413793,25.44827586
1,D,28,925000,Merrill,1.10%,2019-2020,57.4,2.342857143,5.857142857,8.2,0.142857143,71,18.41666667,5.40%,9,51,118.8163265,15.06122449,85.34693878,3.346938776,8.367346939,11.71428571
